[Sat May 30 21:26:50 2015] [notice] Apache/2.2.21 (Win32) PHP/5.3.9 configured -- resuming normal operations
[Sat May 30 21:26:50 2015] [notice] Server built: Sep 10 2011 11:34:11
[Sat May 30 21:26:50 2015] [notice] Parent: Created child process 7804
[Sat May 30 21:26:51 2015] [notice] Child 7804: Child process is running
[Sat May 30 21:26:51 2015] [notice] Child 7804: Acquired the start mutex.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting 64 worker threads.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting thread to listen on port 8080.
[Sun May 31 15:10:31 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 15:10:36 2015] [error] [client ::1] PHP Warning:  include_once(./inc/php/include.inc.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in F:\\8.5\\root\\wp-content\\themes\\mokka-child\\newproject.php on line 1, referer: http://localhost:8080/?page=projects
[Sun May 31 15:10:36 2015] [error] [client ::1] PHP Warning:  include_once() [<a href='function.include'>function.include</a>]: Failed opening './inc/php/include.inc.php' for inclusion (include_path='.;C:\\php\\pear') in F:\\8.5\\root\\wp-content\\themes\\mokka-child\\newproject.php on line 1, referer: http://localhost:8080/?page=projects
[Sun May 31 15:10:36 2015] [error] [client ::1] PHP Fatal error:  Call to undefined function project_category_options() in F:\\8.5\\root\\wp-content\\themes\\mokka-child\\newproject.php on line 30, referer: http://localhost:8080/?page=projects
[Sun May 31 15:10:36 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=newproject
[Sun May 31 15:10:59 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=newproject
[Sun May 31 15:11:19 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 15:11:20 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 15:11:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:11:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:13:08 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 15:13:08 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 15:13:13 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=newproject
[Sun May 31 15:13:19 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:13:19 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:13:24 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=newevent
[Sun May 31 15:13:34 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:13:34 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 15:18:19 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 15:18:19 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 15:18:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:18:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:18:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:18:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:49:06 2015] [error] [client ::1] PHP Parse error:  syntax error, unexpected T_VARIABLE in F:\\8.5\\root\\wp-content\\themes\\mokka-child\\php\\database_functions.php on line 169, referer: http://localhost:8080/
[Sun May 31 15:49:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 15:49:26 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 15:49:32 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:49:32 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:49:32 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:42 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:42 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:42 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:42 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:43 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:43 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:43 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:16 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:17 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:51:48 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:01 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:01 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:01 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:01 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:01 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:27 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:44 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/10, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 15:55:45 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
